Run Date,Action,Symbol,Description,Type,Quantity,Price ($),Commission ($),Fees ($),Accrued Interest ($),Amount ($),Cash Balance ($),Settlement Date
 02/11/2025, YOU SOLD OPENING TRANSACTION CALL (GOOG) ALPHABET INC CAP STK APR 17 25 $185 (100 SHS) (Margin), -GOOG250417C185, CALL (GOOG) ALPHABET INC CAP STK APR 17 25 $185 (100 SHS),Margin,-2,9.5,1.3,0.11,,1898.59,106960.29,2/12/25
 02/11/2025, YOU BOUGHT CLOSING TRANSACTION CALL (GOOG) ALPHABET INC CAP STK MAY 16 25 $200 (100 SHS) (Margin), -GOOG250516C200, CALL (GOOG) ALPHABET INC CAP STK MAY 16 25 $200 (100 SHS),Margin,2,6.35,1.3,0.05,,-1271.35,105061.7,2/12/25
 02/11/2025, YOU SOLD AMAZON.COM INC (AMZN) (Margin), AMZN, AMAZON.COM INC,Margin,-300,230.22,,1.93,,69064.07,106333.05,2/12/25
 02/11/2025, YOU SOLD ALPHABET INC CAP STK CL C (GOOG) (Margin), GOOG, ALPHABET INC CAP STK CL C,Margin,-200,186.35,,1.04,,37268.98,37268.98,2/12/25
 02/10/2025, EXPIRED CALL (MSFT) MICROSOFT CORP FEB 07 25 $430 as of Feb-07-2025 CALL (MSFT) MICROSOFT CORP FEB 07 25 $430 (100 SHS) (Margin), -MSFT250207C430, CALL (MSFT) MICROSOFT CORP FEB 07 25 $430 (100 SHS),Margin,1,,,,,0,1061.01,
 02/10/2025, YOU SOLD OPENING TRANSACTION CALL (NVDA) NVIDIA CORPORATION APR 17 25 $135 (100 SHS) (Margin), -NVDA250417C135, CALL (NVDA) NVIDIA CORPORATION APR 17 25 $135 (100 SHS),Margin,-4,12.28,2.6,0.25,,4909.15,1061.01,2/11/25
 02/10/2025, YOU BOUGHT CLOSING TRANSACTION CALL (NVDA) NVIDIA CORPORATION MAR 21 25 $132 (100 SHS) (Margin), -NVDA250321C132, CALL (NVDA) NVIDIA CORPORATION MAR 21 25 $132 (100 SHS),Margin,4,11.68,2.6,0.11,,-4674.71,-3848.14,2/11/25
 02/07/2025, YOU BOUGHT CLOSING TRANSACTION CALL (AAPL) APPLE INC FEB 21 25 $245 (100 SHS) (Margin), -AAPL250221C245, CALL (AAPL) APPLE INC FEB 21 25 $245 (100 SHS),Margin,2,0.27,,0.05,,-54.05,826.57,2/10/25
 02/07/2025, YOU BOUGHT CLOSING TRANSACTION CALL (TSLA) TESLA INC COM MAR 21 25 $255 (100 SHS) (Margin), -TSLA250321C255, CALL (TSLA) TESLA INC COM MAR 21 25 $255 (100 SHS),Margin,2,117.29,1.3,0.05,,-23459.35,880.62,2/10/25
 02/07/2025, YOU SOLD OPENING TRANSACTION CALL (TSLA) TESLA INC COM JUN 20 25 $260 (100 SHS) (Margin), -TSLA250620C260, CALL (TSLA) TESLA INC COM JUN 20 25 $260 (100 SHS),Margin,-2,121.71,1.3,0.73,,24339.97,24339.97,2/10/25
 02/06/2025, YOU BOUGHT CLOSING TRANSACTION CALL (NVDA) NVIDIA CORPORATION FEB 28 25 $130 (100 SHS) (Margin), -NVDA250228C130, CALL (NVDA) NVIDIA CORPORATION FEB 28 25 $130 (100 SHS),Margin,4,7.65,2.6,0.11,,-3062.71,1458.06,2/7/25
 02/06/2025, YOU SOLD OPENING TRANSACTION CALL (TSLA) TESLA INC COM APR 17 25 $230 (100 SHS) (Margin), -TSLA250417C230, CALL (TSLA) TESLA INC COM APR 17 25 $230 (100 SHS),Margin,-2,147.58,1.3,0.88,,29513.82,4520.77,2/7/25
 02/06/2025, YOU BOUGHT CLOSING TRANSACTION CALL (AAPL) APPLE INC FEB 21 25 $260 (100 SHS) (Margin), -AAPL250221C260, CALL (AAPL) APPLE INC FEB 21 25 $260 (100 SHS),Margin,2,0.06,,0.05,,-12.05,-24993.05,2/7/25
 02/06/2025, YOU BOUGHT CLOSING TRANSACTION CALL (TSLA) TESLA INC COM FEB 21 25 $230 (100 SHS) (Margin), -TSLA250221C230, CALL (TSLA) TESLA INC COM FEB 21 25 $230 (100 SHS),Margin,2,144.78,1.3,0.05,,-28957.35,-24981,2/7/25
 02/06/2025, YOU SOLD OPENING TRANSACTION CALL (NVDA) NVIDIA CORPORATION MAR 21 25 $132 (100 SHS) (Margin), -NVDA250321C132, CALL (NVDA) NVIDIA CORPORATION MAR 21 25 $132 (100 SHS),Margin,-4,9.26,2.6,0.22,,3701.18,3976.35,2/7/25
 01/23/2025, YOU SOLD OPENING TRANSACTION PUT (CLSK) CLEANSPARK INC COM FEB 21 25 $11 (100 SHS) (Cash), -CLSK250221P11, PUT (CLSK) CLEANSPARK INC COM FEB 21 25 $11 (100 SHS),Cash,-1,1.13,0.65,0.03,,112.32,36294.57,1/24/25
 01/23/2025, YOU SOLD OPENING TRANSACTION PUT (SOXL) DIREXION DAILY FEB 21 25 $30 (100 SHS) (Cash), -SOXL250221P30, PUT (SOXL) DIREXION DAILY FEB 21 25 $30 (100 SHS),Cash,-7,1.27,4.55,0.22,,884.23,36182.25,1/24/25
 01/10/2025, YOU SOLD OPENING TRANSACTION PUT (PLTR) PALANTIR FEB 07 25 $68 (100 SHS) (Cash), -PLTR250207P68, PUT (PLTR) PALANTIR FEB 07 25 $68 (100 SHS),Cash,-2,6.2,1.3,0.09,,1238.61,35298.02,1/13/25
 01/10/2025, YOU BOUGHT CLOSING TRANSACTION PUT (PLTR) PALANTIR JAN 17 25 $70 (100 SHS) (Cash), -PLTR250117P70, PUT (PLTR) PALANTIR JAN 17 25 $70 (100 SHS),Cash,2,4.65,1.3,0.05,,-931.35,34059.41,1/13/25
 01/06/2025, YOU SOLD OPENING TRANSACTION PUT (PLTR) PALANTIR JAN 17 25 $70 (100 SHS) (Cash), -PLTR250117P70, PUT (PLTR) PALANTIR JAN 17 25 $70 (100 SHS),Cash,-2,0.92,1.3,0.05,,182.65,34990.76,1/7/25
 01/06/2025, YOU BOUGHT CLOSING TRANSACTION PUT (HOOD) ROBINHOOD MKTS INC JAN 17 25 $35 (100 SHS) (Cash), -HOOD250117P35, PUT (HOOD) ROBINHOOD MKTS INC JAN 17 25 $35 (100 SHS),Cash,6,0.11,,0.15,,-66.15,34808.11,1/7/25
,,,,,,,,,,,,
,,,,,,,,,,,,
The data and information in this spreadsheet is provided to you solely for your use and is not for distribution. The spreadsheet is provided for,,,,,,,,,,,,
"informational purposes only, and is not intended to provide advice, nor should it be construed as an offer to sell, a solicitation of an offer to buy or a",,,,,,,,,,,,
recommendation for any security or insurance product by Fidelity or any third party. Data and information shown is based on information known to Fidelity as of the date it was,,,,,,,,,,,,
exported and is subject to change. It should not be used in place of your account statements or trade confirmations and is not intended for tax reporting,,,,,,,,,,,,
"purposes. For more information on the data included in this spreadsheet, including any limitations thereof, go to Fidelity.com.",,,,,,,,,,,,
,,,,,,,,,,,,
"Brokerage services are provided by Fidelity Brokerage Services LLC (FBS), 900 Salem Street, Smithfield, RI 02917. Custody and other services provided by National",,,,,,,,,,,,
"Financial Services LLC (NFS). Both are Fidelity Investment companies and members SIPC, NYSE. Insurance products at Fidelity are distributed by",,,,,,,,,,,,
"Fidelity Insurance Agency, Inc., and, for certain products, by Fidelity Brokerage Services, Member NYSE, SIPC.",,,,,,,,,,,,
,,,,,,,,,,,,
Date downloaded 02/25/2025 9:18 am,,,,,,,,,,,,
